epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.3473,1.42271,1.86344,0.94602,0.76084,0.74848,0.80828,0.46086,1.34081,1.04063,1.02377,0.000661017,0.000661017,0.000661017
2,162.191,1.41668,0.98555,0.96532,0.83661,0.87273,0.90852,0.58625,1.31226,0.90248,0.99035,0.00132111,0.00132111,0.00132111
3,241,1.46745,0.94222,0.97805,0.82071,0.90164,0.90462,0.56006,1.39515,0.89849,0.9792,0.00197461,0.00197461,0.00197461
4,317.98,1.39367,0.87479,0.96312,0.87575,0.8116,0.89495,0.56639,1.30409,0.9168,0.99537,0.0019703,0.0019703,0.0019703
5,395.214,1.29956,0.8132,0.93947,0.90685,0.91454,0.96211,0.66061,1.12346,0.6934,0.9352,0.0019604,0.0019604,0.0019604
6,474.459,1.27582,0.75699,0.93449,0.87007,0.89286,0.93259,0.62283,1.20963,0.70142,0.94208,0.0019505,0.0019505,0.0019505
7,551.762,1.24353,0.73233,0.92638,0.89277,0.78211,0.83894,0.51981,1.38832,1.34751,0.96834,0.0019406,0.0019406,0.0019406
8,629.108,1.18419,0.72401,0.90527,0.89357,0.9303,0.95834,0.64674,1.13705,0.66884,0.91933,0.0019307,0.0019307,0.0019307
9,706.453,1.13151,0.67581,0.90164,0.91798,0.94848,0.97566,0.71358,0.97369,0.59419,0.88771,0.0019208,0.0019208,0.0019208
10,785.572,1.1253,0.64973,0.89442,0.90491,0.95166,0.97687,0.71826,0.97717,0.57788,0.87889,0.0019109,0.0019109,0.0019109
11,864.423,1.10943,0.64574,0.89518,0.97526,0.94545,0.98671,0.72738,1.0127,0.57869,0.88926,0.001901,0.001901,0.001901
12,943.214,1.09343,0.63407,0.88497,0.94114,0.97273,0.98457,0.74925,0.90547,0.54192,0.86928,0.0018911,0.0018911,0.0018911
13,1022.22,1.06073,0.59888,0.88098,0.91083,0.97273,0.97489,0.75797,0.87569,0.53364,0.86644,0.0018812,0.0018812,0.0018812
14,1101.18,1.09587,0.63473,0.88431,0.93692,0.94518,0.98051,0.73419,0.97578,0.54099,0.86193,0.0018713,0.0018713,0.0018713
15,1178.01,1.02528,0.58816,0.87471,0.95592,0.91995,0.9745,0.74708,0.924,0.53034,0.87846,0.0018614,0.0018614,0.0018614
16,1255.05,1.11016,0.5898,0.87634,0.92885,0.94848,0.9834,0.68288,1.11776,0.5918,0.88169,0.0018515,0.0018515,0.0018515
17,1332.56,1.10651,0.61598,0.86034,0.92367,0.98485,0.9746,0.73508,0.90908,0.52531,0.86433,0.0018416,0.0018416,0.0018416
18,1409.87,1.01774,0.58234,0.86729,0.90316,0.83939,0.91437,0.66402,0.95495,0.83716,0.92776,0.0018317,0.0018317,0.0018317
19,1487.19,1.02093,0.60218,0.86965,0.95554,0.9697,0.98393,0.74196,0.88757,0.52183,0.86891,0.0018218,0.0018218,0.0018218
20,1564.56,0.98012,0.56183,0.8559,0.95048,0.93062,0.98335,0.74958,0.89814,0.53508,0.87541,0.0018119,0.0018119,0.0018119
21,1641.92,0.98312,0.55336,0.86423,0.96881,0.94139,0.97651,0.74441,0.88612,0.53295,0.87952,0.001802,0.001802,0.001802
22,1719.09,0.98623,0.54451,0.86266,0.95743,0.95409,0.98692,0.75243,0.86705,0.49201,0.85803,0.0017921,0.0017921,0.0017921
23,1796.03,0.92286,0.52631,0.85565,0.95548,0.97576,0.98733,0.77338,0.82862,0.47662,0.85277,0.0017822,0.0017822,0.0017822
24,1874.86,0.97049,0.54838,0.84972,0.92159,0.96163,0.98339,0.76029,0.85712,0.50192,0.84611,0.0017723,0.0017723,0.0017723
25,1951.82,0.93989,0.52419,0.86229,0.9658,0.94119,0.9761,0.76559,0.86586,0.54092,0.86344,0.0017624,0.0017624,0.0017624
26,2028.67,1.03061,0.55876,0.86044,0.91441,0.97123,0.98395,0.7411,0.93919,0.50646,0.86781,0.0017525,0.0017525,0.0017525
27,2105.55,0.95388,0.52112,0.84417,0.96957,0.96547,0.99041,0.75917,0.84736,0.4616,0.86346,0.0017426,0.0017426,0.0017426
28,2182.61,0.92147,0.51462,0.85468,0.94663,0.97879,0.9817,0.77889,0.81847,0.44985,0.84508,0.0017327,0.0017327,0.0017327
29,2261.78,0.95312,0.51995,0.84813,0.9501,0.98085,0.98435,0.77569,0.8297,0.46174,0.85082,0.0017228,0.0017228,0.0017228
30,2339.08,0.90397,0.50818,0.85291,0.95561,0.97857,0.98738,0.78307,0.80691,0.44541,0.84775,0.0017129,0.0017129,0.0017129
31,2418.3,0.90492,0.50827,0.85095,0.89784,0.95872,0.9595,0.75248,0.85241,0.49501,0.85009,0.001703,0.001703,0.001703
32,2495.7,0.92664,0.52802,0.83384,0.97325,0.96061,0.98837,0.78103,0.83841,0.48012,0.85484,0.0016931,0.0016931,0.0016931
33,2573.06,0.95268,0.53598,0.85419,0.94843,0.94748,0.98378,0.73648,0.94446,0.50669,0.86047,0.0016832,0.0016832,0.0016832
34,2650.22,0.96549,0.54427,0.85355,0.92291,0.99091,0.98503,0.76504,0.86137,0.49109,0.84675,0.0016733,0.0016733,0.0016733
35,2727.17,0.91028,0.5159,0.8419,0.91278,0.91965,0.96278,0.72072,0.92533,0.67269,0.88159,0.0016634,0.0016634,0.0016634
36,2803.98,0.93094,0.50506,0.86168,0.96098,0.97013,0.98777,0.77928,0.81945,0.44925,0.84711,0.0016535,0.0016535,0.0016535
37,2880.87,0.94043,0.50101,0.84367,0.95497,0.96405,0.98805,0.78859,0.78925,0.42884,0.8382,0.0016436,0.0016436,0.0016436
38,2959.61,0.88608,0.47047,0.83162,0.97161,0.98182,0.98876,0.7928,0.77408,0.41362,0.83884,0.0016337,0.0016337,0.0016337
39,3038.37,0.8939,0.4728,0.82912,0.96676,0.96667,0.97964,0.77665,0.86289,0.45139,0.84435,0.0016238,0.0016238,0.0016238
40,3115.34,0.89362,0.48304,0.83334,0.96716,0.98176,0.98861,0.80037,0.75857,0.41105,0.8333,0.0016139,0.0016139,0.0016139
